chirp_mass mass_ratio distance phi ra dec
89.69122 0.29519877 1581.734 4.418234 4.418234 0.73122674
92.77486 0.3015738 1852.8237 0.40651512 0.40651512 -1.1319239
99.628525 0.35338557 1108.7246 0.31276512 0.31276512 -1.2135445
81.31204 0.1426608 2061.3738 3.8674526 3.8674526 0.97561
88.94006 0.1590955 2304.5166 3.3166714 3.3166714 0.4566714
86.31018 0.34036916 1791.5946 4.406515 4.406515 0.7099499
80.73024 0.26055142 1565.179 4.3635464 4.3635464 0.7320991
94.49109 0.26178002 1926.2346 3.9651089 3.9651089 1.0600055
76.27966 0.19141397 1777.312 3.9299526 3.9299526 0.92893445
77.54188 0.18872255 1842.6421 6.2326694 6.2326694 -0.9242158
75.37245 0.19136706 2198.8467 3.1057339 3.1057339 0.33129665
83.834785 0.17259815 1589.7643 0.15651512 0.15651512 -1.0957798
86.74752 0.22861081 1777.9355 6.0764194 6.0764194 -0.7953295
80.12517 0.14042866 1886.533 3.5979214 3.5979214 0.71200544
58.91983 0.20148 1229.2537 6.068607 6.068607 -0.9011449
98.730995 0.3179529 1839.3079 4.281515 4.281515 0.86431783
98.08636 0.25313053 1382.1533 0.30885887 0.30885887 -1.2506331
96.483376 0.20463479 1796.6837 4.261984 4.261984 0.8142934
94.984726 0.3811478 2132.8965 3.4221401 3.4221401 0.6229282
96.039566 0.30493864 2042.1886 3.5237026 3.5237026 0.59879583
84.52556 0.36812896 2227.9673 6.006107 6.006107 -0.6061775
82.31551 0.19468361 1538.4926 4.29714 4.29714 0.79673964
84.61759 0.21832848 2136.9297 3.9143276 3.9143276 0.83680123
74.15976 0.1452092 1739.7725 4.1174526 4.1174526 0.9860163
74.82161 0.255627 1574.2037 4.3049526 4.3049526 0.86043274
79.98878 0.14575061 1970.2979 3.7737026 3.7737026 1.0320249
96.97133 0.5193821 2874.9915 3.8869839 3.8869839 0.87131184
79.55394 0.14165911 2597.141 3.4729214 3.4729214 0.6462345
75.930244 0.32805133 2191.4973 3.3752651 3.3752651 0.7025943
66.4919 0.12641004 1121.0842 4.386984 4.386984 0.78438646
99.238716 0.42057884 1950.4998 6.2170444 6.2170444 -0.9155143
68.24835 0.22575054 1307.1661 3.7971401 3.7971401 0.906275
89.04945 0.1584987 2716.7285 3.3635464 3.3635464 0.62515616
74.84873 0.25505954 1876.0774 0.26979637 0.26979637 -1.1138887
97.05478 0.39966446 2370.3171 3.9494839 3.9494839 0.89300895
60.757004 0.1306788 905.14124 4.324484 4.324484 0.7955469
97.63428 0.19169319 2024.52 4.3362026 4.3362026 0.8857155
76.98929 0.20892528 1946.5813 4.027609 4.027609 0.9371543
93.81067 0.24244311 1763.1635 4.3518276 4.3518276 0.68292487
95.31053 0.16431999 2891.1257 6.2209506 6.2209506 -0.8199893
97.73359 0.37167126 2716.3052 5.8889194 5.8889194 -0.4799075
67.49766 0.12827274 1939.059 3.3791714 3.3791714 0.7184254
72.70796 0.3091456 1965.7974 3.9026089 3.9026089 0.9649703
99.26082 0.44005585 2645.7336 3.2776089 3.2776089 0.544073
71.96425 0.20873532 1605.0175 3.8166714 3.8166714 0.9480993
81.5888 0.14206639 1825.7828 4.39089 4.39089 0.7965511
89.4661 0.21482697 1199.8254 0.9963589 0.9963589 -1.1912636
77.47255 0.15845507 1669.7898 3.9221401 3.9221401 0.9548741
92.19819 0.15130028 2316.0217 3.7658901 3.7658901 0.9209623
95.79136 0.28455672 1955.4146 3.5002651 3.5002651 0.6929771
84.90006 0.15398467 2062.789 0.12917137 0.12917137 -1.1166581
82.42112 0.14310169 1912.223 5.9670444 5.9670444 -0.73320955
96.68917 0.26994702 2054.9468 3.8479214 3.8479214 1.0067681
85.469025 0.24274176 2402.4854 6.2170444 6.2170444 -0.9464202
98.100235 0.26614904 2137.7295 5.9982944 5.9982944 -0.57045674
94.76024 0.18687615 1730.8951 6.119388 6.119388 -0.96409726
98.69741 0.15730366 2680.7705 3.8713589 3.8713589 0.90161335
92.01965 0.18335631 2445.2947 3.9533901 3.9533901 0.9143073
99.59239 0.24781278 1906.5311 3.3752651 3.3752651 0.5530796
63.98472 0.12884647 830.68097 3.9846401 3.9846401 0.8824996
78.35168 0.20778522 1593.3188 6.068607 6.068607 -0.6042835
97.99899 0.2548872 1965.9316 1.1291714 1.1291714 -1.0485636
92.87828 0.35441715 1729.1879 4.3362026 4.3362026 0.79449713
92.89767 0.18615893 1602.1858 6.1232944 6.1232944 -0.77498645
74.285446 0.2508973 1594.732 3.6447964 3.6447964 0.7795498
94.64116 0.19158286 2608.1504 3.5158901 3.5158901 0.61394924
99.50694 0.47411162 2569.249 5.994388 5.994388 -0.62718534
86.767815 0.23696998 2062.1226 3.9690151 3.9690151 0.9092643
97.96422 0.38325363 2109.1702 4.4572964 4.4572964 0.7862992
88.49396 0.21622118 2006.7612 3.9104214 3.9104214 0.9487329
64.596375 0.21218327 1351.8307 3.8557339 3.8557339 0.969832
95.512146 0.2955298 2258.2822 6.2053256 6.2053256 -0.9613129
77.59149 0.24287495 1454.7551 3.9963589 3.9963589 0.95955855
91.97611 0.15100208 1540.5831 3.9299526 3.9299526 1.0022649
98.587006 0.19275925 2000.1235 1.2190151 1.2190151 -1.1482658
71.72412 0.2966143 1957.5012 3.2658901 3.2658901 0.45875221
83.61183 0.15616551 1700.6321 0.07057762 0.07057762 -0.88582534
84.3538 0.13326237 2281.419 3.9260464 3.9260464 0.9264939
99.23671 0.19457024 2706.3542 3.8987026 3.8987026 0.9561619
67.02761 0.12702006 1812.3524 3.5354214 3.5354214 0.59789187
93.82942 0.32467264 1632.8267 0.14870262 0.14870262 -1.0553443
88.245316 0.27962202 2221.624 1.1799526 1.1799526 -1.1748537
71.858864 0.1421743 1330.4454 6.2639194 6.2639194 -0.9741187
70.53821 0.20996079 1937.6736 5.9357944 5.9357944 -0.57412827
75.28656 0.13728216 1674.1592 0.14089012 0.14089012 -1.1393478
92.40738 0.23974112 1445.3639 4.375265 4.375265 0.75446534
89.70853 0.37583137 2112.579 4.0549526 4.0549526 0.8639244
88.24885 0.31294164 2513.019 3.5041714 3.5041714 0.7276828
96.83998 0.31119594 1691.8688 0.41432762 0.41432762 -1.2288204
95.56783 0.18331236 1722.767 4.0041714 4.0041714 0.87756366
90.21246 0.17827177 1950.8694 4.340109 4.340109 0.8981916
90.29805 0.15355855 3057.7246 3.7033901 3.7033901 0.7494359
96.19673 0.23165196 1573.3745 1.0549526 1.0549526 -1.0500079
78.78786 0.2554508 1628.5388 4.000265 4.000265 0.8689615
83.82975 0.18954831 1659.4463 3.9572964 3.9572964 0.9831415
72.15236 0.16216263 1935.1833 0.09401512 0.09401512 -0.9208574
